iter	Passed	Remaining
173	297	1411
174	297	1404
175	298	1397
176	299	1390
177	299	1382
178	299	1375
179	300	1369
180	301	1362
181	301	1355
182	302	1348
183	302	1342
184	303	1336
185	303	1330
186	304	1324
187	305	1318
188	305	1313
189	306	1307
190	307	1302
191	309	1300
192	310	1296
193	310	1291
194	311	1287
195	312	1283
196	313	1279
197	315	1275
198	315	1271
199	317	1268
200	318	1265
201	319	1263
202	320	1259
203	322	1256
204	323	1255
205	324	1252
206	325	1248
207	327	1245
208	328	1241
209	329	1238
210	330	1234
211	331	1230
212	331	1226
213	334	1228
214	335	1225
215	338	1230
216	340	1228
217	341	1225
218	343	1224
219	344	1222
220	345	1218
221	346	1214
222	347	1210
223	348	1206
224	349	1202
225	349	1197
226	350	1193
227	352	1193
228	353	1190
229	354	1185
230	355	1181
231	355	1177
232	356	1173
233	357	1169
234	357	1164
235	358	1159
236	358	1155
237	359	1150
238	360	1146
239	360	1142
240	361	1137
241	361	1132
242	362	1128
243	362	1124
244	363	1119
245	363	1115
246	364	1110
247	364	1106
248	365	1101
249	365	1096
250	366	1092
251	367	1092
252	368	1088
253	369	1084
254	369	1080
255	370	1076
256	370	1072
257	371	1068
258	371	1064
259	372	1060
260	372	1055
261	373	1051
262	373	1047
263	374	1043
264	374	1039
265	375	1036
266	375	1032
267	376	1028
268	377	1024
269	377	1021
270	378	1017
271	378	1013
272	379	1009
273	379	1006
274	380	1002
275	380	999
276	381	995
277	382	992
278	382	989
279	383	985
280	383	982
281	384	978
282	384	975
283	385	971
284	385	967
285	386	964
286	386	961
287	387	958
288	388	954
289	388	951
290	389	948
291	389	944
292	390	941
293	390	938
294	391	935
295	391	931
296	392	928
297	392	925
298	393	921
299	393	918
300	394	914
301	394	911
302	394	908
303	395	905
304	397	904
305	397	902
306	398	899
307	398	896
308	399	893
309	399	890
310	400	887
311	401	884
312	401	881
313	402	878
314	402	875
315	403	872
316	403	869
317	404	866
318	404	863
319	405	860
320	405	857
321	406	855
322	406	852
323	407	849
324	407	846
325	408	843
326	408	840
327	409	837
328	409	835
329	410	832
330	410	829
331	411	827
332	412	826
333	413	823
334	413	821
335	414	818
336	414	815
337	415	812
338	415	810
339	416	807
340	416	804
341	416	802
342	417	799
343	417	796
344	418	794
345	418	791
346	419	789
347	419	786
348	420	784
349	420	781
350	421	778
351	421	776
352	422	773
353	422	771
354	423	768
355	423	766
356	424	763
357	424	761
358	425	759
359	426	757
360	427	756
361	427	754
362	428	751
363	429	749
364	429	747
365	430	744
366	430	743
367	431	741
368	432	738
369	432	737
370	433	735
371	434	733
372	434	730
373	435	728
374	435	726
375	436	723
376	436	721
377	437	720
378	438	717
379	438	715
380	439	713
381	439	711
382	440	709
383	440	706
384	441	704
385	441	702
386	442	700
387	443	698
388	443	696
389	444	694
390	444	692
391	445	690
392	445	688
393	446	686
394	446	684
395	447	682
396	447	680
397	448	678
398	449	677
399	450	676
400	458	684
401	459	683
402	459	681
403	460	679
404	460	677
405	461	675
406	461	673
407	462	671
408	462	668
409	463	666
410	463	664
411	464	662
412	464	660
413	465	658
414	465	656
415	466	654
416	466	652
417	467	650
418	467	648
419	468	646
420	468	644
421	469	642
422	469	640
423	470	638
424	470	636
425	471	634
426	471	632
427	472	630
428	474	631
429	474	629
430	475	627
431	476	626
432	476	624
433	477	622
434	477	620
435	478	618
436	478	616
437	479	614
438	479	613
439	480	611
440	480	609
441	481	607
442	481	605
443	482	603
444	482	602
445	483	600
446	483	598
447	484	596
448	484	594
449	485	592
450	485	591
451	486	589
452	486	587
453	487	585
454	488	585
455	489	583
456	490	582
457	490	580
458	491	578
459	491	577
460	492	575
461	492	573
462	493	571
463	493	570
464	494	568
465	494	566
466	495	565
467	495	563
468	496	561
469	496	560
470	497	558
471	497	556
472	498	554
473	498	553
474	498	551
475	499	549
476	499	548
477	500	546
478	500	544
479	501	543
480	501	541
481	502	539
482	502	538
483	504	537
484	505	536
